title, source, rating, difficulty, made, tags, yarn_weight, stitch_type, size, notes, link, user_id
Fantasy Dragon, stringydingding, 4, 3, 3, dragon amigurumi, medium, single crochet, medium, Size can vary depending on yarn size, https://stringydingding.com/fantasy-dragon-amigurumi-free-crochet-pattern/, 01
Squid Dice Bag, 12SquareDCreations, 5, 2, 10, dnd amigurumi, medium, double crochet, small, Longer tenticles look better over time, https://12squaredcreations.blogspot.com/2019/01/squid-dice-bag-for-our-gamer-friends.html, 01
